route_id,route_short_name,agency_id,route_long_name,route_type
102B,102B,22,Madina Station to Achimota Station,3
232B,232B,69,Madina Station to Accra CMB 2,3
389B,389B,16,Madina Station to New Town Station,3
397B,397B,74,Madina Station to Nima Overhead Station,3
345A,345A,55,Kotobabi Down Station to Achimota Station,3
357A,357A,68,Mallam Atta Station to Kotobabi Down Station,3
339B,339B,3,Madina Station to Abeka lapaz,3
367A,367A,43,New Fadama to Accra CMB,3
286B,286B,79,New Fadama to Kaneshie Mkt Cmplx,3
310A,310A,54,Kotobabi Down Station to Abeka lapaz,3
237B,237B,37,Anyah Station to Dansoman Laststop,3
103B,103B,22,Mallam Attah Station to Achimota Station,3
043B,043B,5,Kaneshie Mkt Cmplx to Abeka lapaz,3
239B,239B,37,Mallam Station to Dansoman Laststop,3
246B,246B,38,Mallam Station to Dansoman Laststop,3
303B,303B,50,Mallam Station to Korle Bu Station,3
463B,463B,92,Mamprobi to Accra Post Office,3
367B,367B,43,Accra CMB to New Fadama,3
385A,385A,16,New Town Station to 37 Station,3
226B,226B,100,Pig Farm Station to Kokomlemle,3
394A,394A,75,Nima Overhead Station to Ashaiman Station,3
395A,395A,75,Nima Overhead Station to Circle,3
414A,414A,74,Nima Overhead Station to Madina Station,3
417A,417A,73,Nima Overhead Station to Accra New Tema Station,3
434A,434A,81,Odorkor Station to Anyah Station,3
436A,436A,81,Odorkor Station to Official Town,3
013B,013B,96,Lido Terminal (Circle Overhead) to G,3
263A,263A,23,Darkuman to Haasto,3
254A,254A,7,Dzorwulu Station to Kokomlemle,3
438A,438A,82,Odorkor Station to Accra New Tema Station,3
415B,415B,74,Nyaho to Nima Overhead Station,3
002B,002B,87,Osu Blow Up to 37 Lorry Park,3
454A,454A,86,Osu Blow Up to Circle Odorna Station,3
455A,455A,86,Osu Blow Up to Kaneshie Mkt Cmplx,3
456A,456A,86,Osu Blow Up to Madina Station,3
208B,208B,97,Osu Blow Up to UTC Station,3
205B,205B,25,Osu RE to Circle,3
458A,458A,54,Pig Farm Station to Accra CMB,3
467A,467A,101,Rawlings Park to Blue Lagoon,3
442B,442B,84,Bawalashie to Okponglo Taxi Station,3
441A,441A,84,Okponglo Taxi Station to American House,3
004A,004A,2,Abeka lapaz to Ashaiman Station,3
470A,470A,88,Rawlings Park to Osu Penta,3
241B,241B,75,Bawalashie to Circle,3
081A,081A,22,Achimota Station to Adenta Station,3
400B,400B,69,Alajo Station to Nima Overhead Station,3
230A,230A,12,Accra CMB to Omanjor Station,3
404B,404B,69,Dome Railway Crossing to Nima Overhead Station,3
994A,994A,104,Rawlings Park to Chemuna Station,3
281B,281B,10,Russia to Kaneshie Mkt Cmplx,3
296B,296B,83,Russia to Kaneshie Mkt Cmplx,3
076B,076B,22,37 Station to Achimota Station,3
368A,368A,14,Accra New Tema Station to Abelemkpe Station,3
369A,369A,70,Accra New Tema Station to Agbogbloshie Station,3
536B,536B,102,Arena Station to Zamrara Line,3
421B,421B,98,Ashiaman Station to Circle Odorna Station,3
434B,434B,81,Anyah Station to Odorkor Station,3
437B,437B,81,Sakaman to Odorkor Station,3
424B,424B,48,Nungua Station to Odorna Station,3
995B,995B,104,Zamrara Line to Accra New Tema Station,3
544B,544B,89,Korle Bu Station to Zongo Junction,3
399A,399A,69,Nima Overhead Station to Achimota Station,3
079B,079B,24,Accra New Tema Station to Achimota,3
015A,015A,62,Abeka lapaz to D.K. Last stop,3
264B,264B,46,Dansoman Laststop to Hansonic,3
193A,193A,33,Circle Odorna Station to Immesco,3
159A,159A,77,Alajo Junction to Kotobabi Police Station,3
143B,143B,90,Mamprobi to Agbogbloshie Station,3
236B,236B,37,Arena Station to Last Stop (SSNIT Market),3
338A,338A,45,Abeka lapaz to Lomnava Station,3
051A,051A,65,Lapaz Station-Mahean Afuaman to Mahean Station,3
103A,103A,22,Achimota to Mallam Attah Station,3
246A,246A,38,Dansoman Laststop to Mallam Junction,3
175B,175B,32,Bubiashie Atico Station to Bubiashie Station,3
078B,078B,19,Accra UTC to Achimota,3
458B,458B,54,Accra CMB to Pig Farm Station,3
376A,376A,14,Accra New Tema Station to Pig Farm Station,3
444A,444A,13,Opetekwei Station to Agbogbloshie Station,3
539B,539B,102,Circle Odorna Station to Zamrara Line,3
520A,520A,91,Accra New Tema Station to Camara Station,3
476A,476A,91,Salaga Station to Camara Station,3
336A,336A,45,Abeka lapaz to Alhaji,3
224A,224A,29,Accra CMB to Alajo Taxi Rank,3
071A,071A,41,Accra End of Motorway to American House,3
003B,003B,61,Tse Addo to 37 Lorry Park,3
238A,238A,37,Dansoman Laststop to Circle Odorna Station,3
067A,067A,8,Accra CMB to Alhaji,3
480B,480B,13,Agbogbloshie Station No. 2 to Shiabu,3
463A,463A,92,Accra Post Office to Mamprobi,3
262A,262A,13,Glefe to Accra Bishop,3
